YEAR,AREA,GEAR,MONTH,SEX,LENGTH,FREQ,QUARTER,SOURCE
1997,610,91,4,1,97,1,2,ELMEJJATI
1997,610,91,4,2,98,3,2,ELMEJJATI
1997,610,91,4,1,100,1,2,ELMEJJATI
1997,610,91,4,2,104,1,2,ELMEJJATI
1997,610,91,4,2,108,1,2,ELMEJJATI
1997,610,91,4,2,110,1,2,ELMEJJATI
1997,610,91,5,1,47,1,2,ELMEJJATI
1997,610,91,5,1,49,3,2,ELMEJJATI
1997,610,91,5,2,51,3,2,ELMEJJATI
1997,610,91,5,1,52,3,2,ELMEJJATI
1997,610,91,5,2,52,1,2,ELMEJJATI
1997,610,91,5,2,53,1,2,ELMEJJATI
1997,610,91,5,1,54,3,2,ELMEJJATI
1997,610,91,5,2,54,1,2,ELMEJJATI
1997,610,26,5,1,55,1,2,ELMEJJATI
1997,610,91,5,1,55,6,2,ELMEJJATI
1997,610,91,5,2,55,2,2,ELMEJJATI
1997,610,91,5,1,56,9,2,ELMEJJATI
1997,610,91,5,2,56,4,2,ELMEJJATI
1997,610,91,5,1,57,11,2,ELMEJJATI
1997,610,91,5,2,57,6,2,ELMEJJATI
1997,610,91,5,1,58,8,2,ELMEJJATI
1997,610,26,5,2,58,1,2,ELMEJJATI
1997,610,91,5,2,58,9,2,ELMEJJATI
1997,610,91,5,1,59,16,2,ELMEJJATI
1997,610,26,5,2,59,1,2,ELMEJJATI
1997,610,91,5,2,59,7,2,ELMEJJATI
1997,610,91,5,1,60,8,2,ELMEJJATI
1997,610,91,5,2,60,9,2,ELMEJJATI
1997,610,26,5,1,61,1,2,ELMEJJATI
1997,610,91,5,1,61,24,2,ELMEJJATI
1997,610,26,5,2,61,1,2,ELMEJJATI
1997,610,91,5,2,61,12,2,ELMEJJATI
1997,610,26,5,1,62,1,2,ELMEJJATI
1997,610,91,5,1,62,16,2,ELMEJJATI
1997,610,91,5,2,62,8,2,ELMEJJATI
1997,610,26,5,1,63,1,2,ELMEJJATI
1997,610,91,5,1,63,13,2,ELMEJJATI
1997,610,26,5,2,63,3,2,ELMEJJATI
1997,610,91,5,2,63,7,2,ELMEJJATI
1997,610,26,5,1,64,4,2,ELMEJJATI
1997,610,91,5,1,64,21,2,ELMEJJATI
1997,610,91,5,2,64,13,2,ELMEJJATI
1997,610,26,5,1,65,1,2,ELMEJJATI
1997,610,91,5,1,65,23,2,ELMEJJATI
1997,610,26,5,2,65,2,2,ELMEJJATI
1997,610,91,5,2,65,16,2,ELMEJJATI
1997,610,26,5,1,66,1,2,ELMEJJATI
1997,610,91,5,1,66,15,2,ELMEJJATI
1997,610,26,5,2,66,2,2,ELMEJJATI
1997,610,91,5,2,66,15,2,ELMEJJATI
1997,610,26,5,1,67,1,2,ELMEJJATI
1997,610,91,5,1,67,11,2,ELMEJJATI
1997,610,26,5,2,67,5,2,ELMEJJATI
1997,610,91,5,2,67,7,2,ELMEJJATI
1997,610,26,5,1,68,1,2,ELMEJJATI
1997,610,91,5,1,68,14,2,ELMEJJATI
1997,610,26,5,2,68,1,2,ELMEJJATI
1997,610,91,5,2,68,15,2,ELMEJJATI
1997,610,26,5,1,69,1,2,ELMEJJATI
1997,610,91,5,1,69,5,2,ELMEJJATI
1997,610,26,5,2,69,1,2,ELMEJJATI
1997,610,91,5,2,69,7,2,ELMEJJATI
1997,610,91,5,1,70,8,2,ELMEJJATI
1997,610,,5,1,70,1,2,ELMEJJATI
1997,610,91,5,2,70,14,2,ELMEJJATI
1997,610,,5,2,70,1,2,ELMEJJATI
1997,610,26,5,1,71,1,2,ELMEJJATI
1997,610,91,5,1,71,4,2,ELMEJJATI
1997,610,91,5,2,71,11,2,ELMEJJATI
1997,610,91,5,1,72,11,2,ELMEJJATI
1997,610,26,5,2,72,2,2,ELMEJJATI
1997,610,91,5,2,72,7,2,ELMEJJATI
1997,610,91,5,1,73,7,2,ELMEJJATI
1997,610,26,5,2,73,3,2,ELMEJJATI
1997,610,91,5,2,73,7,2,ELMEJJATI
1997,610,91,5,1,74,2,2,ELMEJJATI
1997,610,91,5,2,74,5,2,ELMEJJATI
1997,610,91,5,1,75,3,2,ELMEJJATI
1997,610,26,5,2,75,1,2,ELMEJJATI
1997,610,91,5,2,75,2,2,ELMEJJATI
1997,610,91,5,1,76,5,2,ELMEJJATI
1997,610,26,5,2,76,2,2,ELMEJJATI
