#V3.30
#C data file created using the SS_writedat function in the R package r4ss
#C should work with SS version:
#C file write time: 2021-03-10 15:23:42
#
1977 #_styr
2021 #_endyr
1 #_nseas
12 #_months_per_seas
2 #_Nsubseasons
1 #_spawn_month
1 #_Nsexes
10 #_Nages
1 #_N_areas
9 #_Nfleets
#_fleetinfo
#_type	surveytiming	area	units	need_catch_mult	fleetname
1	  -1	1	1	0	FshTrawl	#_1
1	  -1	1	1	0	FshLL   	#_2
1	  -1	1	1	0	FshPot  	#_3
3	1007	1	2	0	Srv     	#_4
3	1007	1	2	0	LLSrv   	#_5
3	1007	1	2	0	IPHCLL  	#_6
3	1007	1	2	0	ADFG    	#_7
3	1007	1	2	0	SPAWN   	#_8
3	1007	1	2	0	Seine   	#_9
#_Catch data
#_year	season	fleet	catch	catch_se
 -999	1	1	    0.00	0.05	#_1         
 1977	1	1	  653.00	0.05	#_2         
 1978	1	1	 3263.00	0.05	#_3         
 1979	1	1	 3790.00	0.05	#_4         
 1980	1	1	 9851.00	0.05	#_5         
 1981	1	1	10485.00	0.05	#_6         
 1982	1	1	 6680.00	0.05	#_7         
 1983	1	1	 9512.00	0.05	#_8         
 1984	1	1	 8806.00	0.05	#_9         
 1985	1	1	 4876.00	0.05	#_10        
 1986	1	1	 6851.00	0.05	#_11        
 1987	1	1	22487.00	0.05	#_12        
 1988	1	1	27145.00	0.05	#_13        
 1989	1	1	37638.00	0.05	#_14        
 1990	1	1	59190.00	0.05	#_15        
 1991	1	1	58101.52	0.05	#_16        
 1992	1	1	54762.23	0.05	#_17        
 1993	1	1	37809.50	0.05	#_18        
 1994	1	1	31446.71	0.05	#_19        
 1995	1	1	41875.03	0.05	#_20        
 1996	1	1	45990.47	0.05	#_21        
 1997	1	1	48405.92	0.05	#_22        
 1998	1	1	41569.65	0.05	#_23        
 1999	1	1	37174.68	0.05	#_24        
 2000	1	1	25456.87	0.05	#_25        
 2001	1	1	24386.21	0.05	#_26        
 2002	1	1	19810.18	0.05	#_27        
 2003	1	1	18885.52	0.05	#_28        
 2004	1	1	17512.57	0.05	#_29        
 2005	1	1	14549.22	0.05	#_30        
 2006	1	1	13131.75	0.05	#_31        
 2007	1	1	14775.39	0.05	#_32        
 2008	1	1	20293.40	0.05	#_33        
 2009	1	1	13976.17	0.05	#_34        
 2010	1	1	22035.18	0.05	#_35        
 2011	1	1	16456.34	0.05	#_36        
 2012	1	1	20084.13	0.05	#_37        
 2013	1	1	21705.98	0.05	#_38        
 2014	1	1	26916.65	0.05	#_39        
 2015	1	1	22268.06	0.05	#_40        
 2016	1	1	15217.38	0.05	#_41        
 2017	1	1	13041.08	0.05	#_42        
 2018	1	1	 3817.98	0.05	#_43        
 2019	1	1	 4534.53	0.05	#_44        
 2020	1	1	 3427.15	0.05	#_45        
 2021	1	1	 7526.94	0.05	#_46        
 -999	1	2	    0.00	0.05	#_47        
